surface,residual_cv,donor_cv,n_replicates,mean_true_rel_improvement,sd_true_rel_improvement,prob_identify_ge_10pct_true_improvement,prob_validation_supports_ge_10pct_improvement,prob_bo_within_15pct_true_optimum,prob_rsm_within_15pct_true_optimum,mean_validation_obs_rel_diff
unimodal,0.15,0.05,500,0.17409571853191536,0.10306272384823853,0.772,0.416,0.96,0.458,0.17083961825479174
unimodal,0.15,0.1,500,0.17075437328269955,0.10002038715499895,0.748,0.406,0.966,0.438,0.1726822908452196
unimodal,0.15,0.15,500,0.15985550478183858,0.09623660556940103,0.736,0.376,0.938,0.434,0.15570708030882788
unimodal,0.2,0.05,500,0.1535975858163249,0.12043610637752034,0.672,0.276,0.922,0.434,0.1474807515397896
unimodal,0.2,0.1,500,0.14735421378423974,0.1201631536698596,0.658,0.286,0.904,0.432,0.15208207031681856
unimodal,0.2,0.15,500,0.13715584843922948,0.11882350499570639,0.614,0.224,0.87,0.422,0.13235706595192834
unimodal,0.25,0.05,500,0.1459994882870719,0.15174278908056746,0.614,0.216,0.842,0.412,0.1399885333682517
unimodal,0.25,0.1,500,0.1446880743804026,0.152986890805033,0.59,0.232,0.84,0.384,0.14605806470338836
unimodal,0.25,0.15,500,0.11814636832590131,0.15296137336510618,0.538,0.166,0.778,0.426,0.11678639649229629
unimodal,0.3,0.05,500,0.13427377665052928,0.17893374724348798,0.546,0.18,0.752,0.38,0.1301469160919581
unimodal,0.3,0.1,500,0.1427604636309868,0.19654362701733513,0.556,0.162,0.732,0.364,0.1438069676554245
unimodal,0.3,0.15,500,0.1284764415197198,0.18251216483432006,0.516,0.15,0.716,0.36,0.12222674378039547
multimodal,0.15,0.05,500,0.5263322529252595,0.26575459928240275,0.94,0.832,0.818,0.038,0.5130130412737035
multimodal,0.15,0.1,500,0.5056008054892295,0.2486618513444872,0.932,0.834,0.802,0.046,0.5104114678358137
multimodal,0.15,0.15,500,0.5242576799918987,0.2489876524488235,0.938,0.842,0.82,0.052,0.5201184610272944
multimodal,0.2,0.05,500,0.4827883332359227,0.29266127781868917,0.888,0.662,0.598,0.026,0.4662682833186297
multimodal,0.2,0.1,500,0.4777289718290042,0.30368740374209174,0.882,0.66,0.618,0.018,0.48534439400601326
multimodal,0.2,0.15,500,0.4751053056195552,0.2842075535775633,0.884,0.676,0.616,0.026,0.47109113476634945
multimodal,0.25,0.05,500,0.42926175696257185,0.31357012454248406,0.83,0.486,0.462,0.024,0.4168906039924183
multimodal,0.25,0.1,500,0.4182366087984567,0.3276099136083866,0.794,0.482,0.466,0.01,0.41945944151944264
multimodal,0.25,0.15,500,0.42332035814929486,0.31505582191748255,0.802,0.534,0.446,0.016,0.41980697214089147
multimodal,0.3,0.05,500,0.36035914210181863,0.31839831248119055,0.768,0.358,0.296,0.01,0.34788460277510297
multimodal,0.3,0.1,500,0.37799994198728154,0.31025700394959554,0.77,0.376,0.312,0.012,0.3717252681164165
multimodal,0.3,0.15,500,0.3603962417427321,0.3122154197686492,0.738,0.384,0.3,0.008,0.35773003215539345
ridge,0.15,0.05,500,0.028893634388638352,0.09733614580131035,0.058,0.108,0.908,0.948,0.02665221271364477
ridge,0.15,0.1,500,0.02469338152424106,0.1014974480880451,0.07,0.108,0.9,0.932,0.0214796032659274
ridge,0.15,0.15,500,0.031464374637610475,0.1022467783930608,0.06,0.108,0.93,0.936,0.0304586624005722
ridge,0.2,0.05,500,0.04124096864136142,0.12994991294170014,0.156,0.134,0.884,0.846,0.039229872466833016
ridge,0.2,0.1,500,0.041521607767561815,0.149246737091996,0.158,0.126,0.87,0.832,0.03573792803959039
ridge,0.2,0.15,500,0.03639483268870424,0.14638159650959257,0.146,0.134,0.88,0.86,0.03525947637959542
ridge,0.25,0.05,500,0.062390303319606974,0.17350968716621137,0.232,0.142,0.832,0.746,0.0551155856772854
ridge,0.25,0.1,500,0.06644816884536946,0.17802553167923857,0.242,0.144,0.868,0.754,0.06063725219638877
ridge,0.25,0.15,500,0.05123273102883955,0.18579691654329566,0.218,0.138,0.83,0.764,0.04989106811861522
ridge,0.3,0.05,500,0.07743986927424165,0.2258062965489709,0.306,0.148,0.794,0.664,0.07512562979127499
ridge,0.3,0.1,500,0.08062349451290358,0.22350396411716936,0.286,0.122,0.8,0.698,0.06929313583111944
ridge,0.3,0.15,500,0.06086748400177471,0.2205892201341724,0.272,0.124,0.766,0.698,0.059275353901036346
null_quadratic,0.15,0.05,500,0.010870779421588374,0.042192719396462595,0.026,0.06,0.998,0.984,0.005536152100156414
null_quadratic,0.15,0.1,500,0.0162367954105747,0.042761929014480185,0.036,0.058,1.0,0.972,0.010261512388327884
null_quadratic,0.15,0.15,500,0.014933148481881377,0.04426080109641284,0.044,0.068,0.998,0.976,0.020759228571126536
null_quadratic,0.2,0.05,500,0.01838978727000185,0.04181393765449646,0.03,0.052,1.0,0.972,0.00951423458453284
null_quadratic,0.2,0.1,500,0.019010403549273622,0.043988215744905766,0.042,0.06,0.998,0.954,0.011675197271753833
null_quadratic,0.2,0.15,500,0.016491347956479104,0.04525141630298241,0.036,0.064,0.994,0.958,0.030133527946923422
null_quadratic,0.25,0.05,500,0.023132921511895558,0.04459193945325666,0.06,0.06,0.998,0.958,0.010042387697433963
null_quadratic,0.25,0.1,500,0.01964469121756585,0.04279286566526152,0.036,0.058,1.0,0.952,0.01290913106517985
null_quadratic,0.25,0.15,500,0.023190560373825997,0.0439462741774404,0.046,0.052,0.996,0.94,0.04166014975614988
null_quadratic,0.3,0.05,500,0.023863069465999667,0.043348245013080725,0.036,0.046,0.996,0.944,0.008825773320783548
null_quadratic,0.3,0.1,500,0.023693592183828955,0.041854314519244894,0.032,0.064,1.0,0.942,0.016530745253079966
null_quadratic,0.3,0.15,500,0.026712033965822335,0.043061873298539284,0.044,0.05,0.996,0.928,0.04429495179123985
